congress,number,title,format,url,filename,status
115,7,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Fifteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/115/bills/sres7/BILLS-115sres7ats.xml,115_sres7.xml,exists
115,8,"A resolution to constitute the minority party's membership on certain committees for the One Hundred Fifteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/115/bills/sres8/BILLS-115sres8ats.xml,115_sres8.xml,exists
115,16,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Fifteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/115/bills/sres16/BILLS-115sres16ats.xml,115_sres16.xml,exists
115,17,"A resolution to constitute the minority party's membership on certain committees for the One Hundred Fifteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/115/bills/sres17/BILLS-115sres17ats.xml,115_sres17.xml,exists
115,57,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Fifteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/115/bills/sres57/BILLS-115sres57ats.xml,115_sres57.xml,exists
115,369,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Fifteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/115/bills/sres369/BILLS-115sres369ats.xml,115_sres369.xml,exists
115,370,"A resolution to constitute the minority party's membership on certain committees for the One Hundred Fifteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/115/bills/sres370/BILLS-115sres370ats.xml,115_sres370.xml,exists
115,393,A resolution making minority party appointments for the 115th Congress.,xml,https://www.congress.gov/115/bills/sres393/BILLS-115sres393ats.xml,115_sres393.xml,exists
115,456,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Fifteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/115/bills/sres456/BILLS-115sres456ats.xml,115_sres456.xml,exists
115,623,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Fifteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/115/bills/sres623/BILLS-115sres623ats.xml,115_sres623.xml,exists
116,12,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Sixteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/116/bills/sres12/BILLS-116sres12ats.xml,116_sres12.xml,exists
