congress,start_date,start_date_imputed,end_date,departure_reason,bioguide_id,member_name,state,senator_class,party,party_designation,committee_name,committee_code,resolution_rank,roster_snapshot_rank,position,resolution,resolution_date
112,2011-02-03,False,2013-01-02,,H001049,Kay R. Hagan,NC,II,D,majority,"Committee on Health, Education, Labor, and Pensions",SSHR00,7,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,H001049,Kay R. Hagan,NC,II,D,majority,Committee on Small Business and Entrepreneurship,SSSB00,10,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,H001061,John Hoeven,ND,III,R,minority,Committee on Indian Affairs,SLIA00,4,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,H001061,John Hoeven,ND,III,R,minority,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,10,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,H001061,John Hoeven,ND,III,R,minority,Committee on Appropriations,SSAP00,13,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,H001061,John Hoeven,ND,III,R,minority,Committee on Energy and Natural Resources,SSEG00,9,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,I000024,James M. Inhofe,OK,II,R,minority,Committee on Armed Services,SSAS00,2,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,I000024,James M. Inhofe,OK,II,R,minority,Committee on Environment and Public Works,SSEV00,1,,Ranking,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,I000024,James M. Inhofe,OK,II,R,minority,Committee on Foreign Relations,SSFR00,5,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,I000025,Daniel K. Inouye,HI,III,D,majority,Committee on Indian Affairs,SLIA00,2,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,I000025,Daniel K. Inouye,HI,III,D,majority,Committee on Appropriations,SSAP00,1,,Chairman,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,I000025,Daniel K. Inouye,HI,III,D,majority,"Committee on Commerce, Science, and Transportation",SSCM00,2,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,I000025,Daniel K. Inouye,HI,III,D,majority,Committee on Rules and Administration,SSRA00,2,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,I000055,Johnny Isakson,GA,III,R,minority,Select Committee on Ethics,SLET00,1,,Vice Chairman,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,I000055,Johnny Isakson,GA,III,R,minority,"Committee on Commerce, Science, and Transportation",SSCM00,7,,Member,S.Res.43,2011-02-03
