congress,start_date,start_date_imputed,end_date,departure_reason,bioguide_id,member_name,state,district,party,committee_name,committee_code,committee_rank,role,resolution,resolution_date,cr_citation,resignation_date
116,2019-09-26,False,2021-01-03,,M001210,Gregory F. Murphy,NC,3,R,"Science, Space, and Technology",SY00,1,,H.Res.596,2019-09-26,,
116,2019-09-26,False,2021-01-03,,T000480,William R. Timmons IV,SC,4,R,Financial Services,BA00,1,,H.Res.596,2019-09-26,,
116,2019-11-19,False,2021-01-03,,B001308,Anthony Brindisi,NY,22,D,Armed Services,AS00,1,,H.Res.712,2019-11-19,,
116,2019-11-19,False,2021-01-03,,L000588,Conor Lamb,PA,17,D,Transportation and Infrastructure,PW00,1,,H.Res.712,2019-11-19,,
116,2019-12-07,True,2021-01-03,,J000289,Jim Jordan,OH,4,R,Permanent Select Committee on Intelligence,IG00,9,,,,,
116,2019-12-19,False,2021-01-03,,H001080,Debra A. Haaland,NM,1,D,Oversight and Government Reform,GO00,2,,H.Res.773,2019-12-19,,
116,2019-12-19,False,2021-01-03,,P000618,Katie Porter,CA,47,D,Oversight and Government Reform,GO00,1,,H.Res.773,2019-12-19,,
116,2020-01-14,False,2021-01-03,,G000586,"Jesús G. ""Chuy"" García",IL,4,D,Natural Resources,II00,1,,H.Res.793,2020-01-14,,
116,2020-01-16,False,2021-01-03,,T000479,Van Taylor,TX,3,R,Financial Services,BA00,1,,H.Res.801,2020-01-16,,
116,2020-01-16,False,2021-01-03,,V000133,Jefferson Van Drew,NJ,2,R,Education and the Workforce,ED00,1,,H.Res.801,2020-01-16,,
116,2020-01-16,False,2021-01-03,,V000133,Jefferson Van Drew,NJ,2,R,Homeland Security,HM00,1,,H.Res.801,2020-01-16,,
116,2020-02-27,False,2021-01-03,,T000484,Xochitl Torres Small,NM,2,D,Agriculture,AG00,1,,H.Res.870,2020-02-27,,
116,2020-05-08,False,2021-01-03,,M000687,Kweisi Mfume,MD,7,D,Oversight and Government Reform,GO00,1,,H.Res.954,2020-05-08,,
116,2020-05-08,False,2021-01-03,,M000687,Kweisi Mfume,MD,7,D,Small Business,SM00,1,,H.Res.954,2020-05-08,,
116,2020-05-31,True,2021-01-03,,C000537,James E. Clyburn,SC,6,D,Select Subcommittee on the Coronavirus Crisis,VC00,1,Chairman,,,,
116,2020-05-31,True,2021-01-03,,F000454,Bill Foster,IL,11,D,Select Subcommittee on the Coronavirus Crisis,VC00,5,,,,,
116,2020-05-31,True,2021-01-03,,G000590,Mark E. Green,TN,7,R,Select Subcommittee on the Coronavirus Crisis,VC00,5,,,,,
116,2020-05-31,True,2021-01-03,,J000289,Jim Jordan,OH,4,R,Select Subcommittee on the Coronavirus Crisis,VC00,2,,,,,
116,2020-05-31,True,2021-01-03,,K000394,Andy Kim,NJ,3,D,Select Subcommittee on the Coronavirus Crisis,VC00,7,,,,,
116,2020-05-31,True,2021-01-03,,L000569,Blaine Luetkemeyer,MO,3,R,Select Subcommittee on the Coronavirus Crisis,VC00,3,,,,,
116,2020-05-31,True,2021-01-03,,M000087,Carolyn B. Maloney,NY,12,D,Select Subcommittee on the Coronavirus Crisis,VC00,3,,,,,
116,2020-05-31,True,2021-01-03,,R000606,Jamie Raskin,MD,8,D,Select Subcommittee on the Coronavirus Crisis,VC00,6,,,,,
116,2020-05-31,True,2021-01-03,,S001176,Steve Scalise,LA,1,R,Select Subcommittee on the Coronavirus Crisis,VC00,1,,,,,
116,2020-05-31,True,2021-01-03,,V000081,Nydia M. Velázquez,NY,7,D,Select Subcommittee on the Coronavirus Crisis,VC00,4,,,,,
116,2020-05-31,True,2021-01-03,,W000187,Maxine Waters,CA,43,D,Select Subcommittee on the Coronavirus Crisis,VC00,2,,,,,
116,2020-05-31,True,2021-01-03,,W000813,Jackie Walorski,IN,2,R,Select Subcommittee on the Coronavirus Crisis,VC00,4,,,,,
116,2020-07-01,False,2021-01-03,,G000061,Mike Garcia,CA,27,R,"Science, Space, and Technology",SY00,1,,H.Res.1037,2020-07-01,,
116,2020-07-01,False,2021-01-03,,T000165,Thomas P. Tiffany,WI,7,R,Judiciary,JU00,1,,H.Res.1037,2020-07-01,,
116,2020-07-01,False,2021-01-03,,T000165,Thomas P. Tiffany,WI,7,R,"Science, Space, and Technology",SY00,2,,H.Res.1037,2020-07-01,,
116,2020-07-11,True,2021-01-03,,P000609,Gary J. Palmer,AL,6,R,Oversight and Government Reform,GO00,8,,,,,
116,2020-07-21,False,2021-01-03,,J000020,Chris Jacobs,NY,27,R,Agriculture,AG00,1,,H.Res.1058,2020-07-21,,
116,2020-07-21,False,2021-01-03,,J000020,Chris Jacobs,NY,27,R,Budget,BU00,1,,H.Res.1058,2020-07-21,,
116,2020-07-30,False,2021-01-03,,B001306,Troy Balderson,OH,12,R,Agriculture,AG00,1,,H.Res.1072,2020-07-30,,
116,2020-07-30,False,2021-01-03,,G000061,Mike Garcia,CA,27,R,Homeland Security,HM00,1,,H.Res.1072,2020-07-30,,
