congress,date,resolution,committee,member,rank,role,rank_after
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Fletcher,25,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. DeMint,26,,
106,1999-01-06,H.Res.6,Government Reform,Mr. Burton of Indiana,1,Chairman,
106,1999-01-06,H.Res.6,Government Reform,Mr. Gilman,2,,
106,1999-01-06,H.Res.6,Government Reform,Mrs. Morella,3,,
106,1999-01-06,H.Res.6,Government Reform,Mr. Shays,4,,
106,1999-01-06,H.Res.6,Government Reform,Mr. Cox,5,,
106,1999-01-06,H.Res.6,Government Reform,Ms. Ros-Lehtinen,6,,
106,1999-01-06,H.Res.6,Government Reform,Mr. McHugh,7,,
106,1999-01-06,H.Res.6,Government Reform,Mr. Horn,8,,
106,1999-01-06,H.Res.6,Government Reform,Mr. Mica,9,,
106,1999-01-06,H.Res.6,Government Reform,Mr. Davis of Virginia,10,,
106,1999-01-06,H.Res.6,Government Reform,Mr. McIntosh,11,,
106,1999-01-06,H.Res.6,Government Reform,Mr. Souder,12,,
106,1999-01-06,H.Res.6,Government Reform,Mr. Scarborough,13,,
106,1999-01-06,H.Res.6,Government Reform,Mr. LaTourette,14,,
106,1999-01-06,H.Res.6,Government Reform,Mr. Sanford,15,,
106,1999-01-06,H.Res.6,Government Reform,Mr. Barr of Georgia,16,,
106,1999-01-06,H.Res.6,Government Reform,Mr. Miller of Florida,17,,
106,1999-01-06,H.Res.6,Government Reform,Mr. Hutchinson,18,,
106,1999-01-06,H.Res.6,Government Reform,Mr. Terry,19,,
106,1999-01-06,H.Res.6,Government Reform,Mrs. Biggert,20,,
106,1999-01-06,H.Res.6,Government Reform,Mr. Walden,21,,
106,1999-01-06,H.Res.6,Government Reform,Mr. Ose,22,,
106,1999-01-06,H.Res.6,Government Reform,Mr. Ryan of Wisconsin,23,,
106,1999-01-06,H.Res.6,House Administration,Mr. Thomas,1,Chairman,
106,1999-01-06,H.Res.6,House Administration,Mr. Boehner,2,,
106,1999-01-06,H.Res.6,House Administration,Mr. Ehlers,3,,
106,1999-01-06,H.Res.6,House Administration,Mr. Ney,4,,
106,1999-01-06,H.Res.6,House Administration,Mr. Mica,5,,
106,1999-01-06,H.Res.6,House Administration,Mr. Ewing,6,,
106,1999-01-06,H.Res.6,International Relations,Mr. Gilman,1,Chairman,
106,1999-01-06,H.Res.6,International Relations,Mr. Goodling,2,,
106,1999-01-06,H.Res.6,International Relations,Mr. Leach,3,,
106,1999-01-06,H.Res.6,International Relations,Mr. Hyde,4,,
106,1999-01-06,H.Res.6,International Relations,Mr. Bereuter,5,,
106,1999-01-06,H.Res.6,International Relations,Mr. Smith of New Jersey,6,,
